asset,venue,day,strategy,selected_mode,total_net_bps,mean_net_bps,total_gross_bps,mean_gross_bps,total_cost_bps,mean_cost_bps,mean_turnover,total_turnover,n_steps,positive_episode
AAPL,XNAS,2025-06-10,camp_r,ramp,1092.031969464298,0.1183902828994252,1259.133919567731,0.13650627922460223,167.1019501034328,0.01811599632517702,0.012359063313096271,114.0,9224,1
AAPL,XNAS,2025-06-10,micro_fixed,,-8737.40696699292,-0.9472470692750347,-8626.861251255172,-0.9352624947154349,110.54571573774642,0.011984574559599568,0.012575888985255855,116.0,9224,0
AAPL,XNAS,2025-06-10,momentum,,3788.8407523520164,0.4107589714171744,3877.4977803825573,0.4203705312643709,88.6570280305408,0.00961155984719653,0.006071118820468344,56.0,9224,1
AAPL,XNAS,2025-06-10,online_regime,,8516.315535517426,0.9232779201558354,8626.861251255172,0.9352624947154349,110.54571573774642,0.011984574559599568,0.012575888985255855,116.0,9224,1
AAPL,XNAS,2025-06-10,ramp_real,,1092.031969464298,0.1183902828994252,1259.133919567731,0.13650627922460223,167.1019501034328,0.01811599632517702,0.012359063313096271,114.0,9224,1
AAPL,XNAS,2025-06-10,ridge_static,,-106.24581567137959,-0.011518410198545055,54.2969658836722,0.005886488061976605,160.5427815550518,0.01740489826052166,0.013443191673894189,124.0,9224,0
AAPL,XNAS,2025-06-10,signed_flow,,-1108.3721385915128,-0.12016176697653001,-1021.793252009633,-0.11077550433755778,86.57888658187979,0.009386262638972223,0.007372072853425846,68.0,9224,0
AAPL,XNAS,2025-06-11,camp_r,ramp,6336.429376638971,0.6682587404175249,6550.1057118067865,0.6907936840125276,213.6763351678154,0.02253494359500268,0.007382408774520143,70.0,9482,1
AAPL,XNAS,2025-06-11,micro_fixed,,-3626.650462319395,-0.38247737421634626,-3448.11583098722,-0.363648579517741,178.53463133217534,0.018828794698605288,0.01096815017928707,104.0,9482,0
AAPL,XNAS,2025-06-11,momentum,,-7439.262479256469,-0.7845668086117348,-7235.262884185269,-0.7630524028881321,203.99959507119993,0.02151440572360261,0.008647964564437883,82.0,9482,0
AAPL,XNAS,2025-06-11,online_regime,,3269.581199655044,0.34481978481913567,3448.11583098722,0.363648579517741,178.53463133217534,0.018828794698605288,0.01096815017928707,104.0,9482,1
